t,mass A,mass B,mass C,mass D
0.000,-5.608E-2,-3.591E-2,-4.847E-2,-6.835E-2
0.033,,,,
0.067,,,,
0.100,-5.479E-2,-4.199E-3,-2.066E-2,-4.553E-2
0.133,,,,
0.167,,,,
0.200,-4.855E-2,2.716E-2,8.459E-3,-1.862E-2
0.233,,,,
0.267,,,,
0.300,-3.752E-2,5.602E-2,3.594E-2,9.271E-3
0.333,,,,
0.367,,,,
0.400,-2.165E-2,7.878E-2,5.945E-2,3.520E-2
0.433,,,,
0.467,,,,
0.500,-4.414E-3,9.428E-2,7.698E-2,5.794E-2
0.533,,,,
0.567,,,,
0.600,1.381E-2,0.101,8.651E-2,7.466E-2
0.633,,,,
0.667,,,,
0.700,2.865E-2,9.729E-2,8.756E-2,8.383E-2
0.733,,,,
0.767,,,,
0.800,4.327E-2,8.516E-2,7.989E-2,8.457E-2
0.833,,,,
0.867,,,,
0.900,5.389E-2,6.461E-2,6.424E-2,7.724E-2
0.933,,,,
0.967,,,,
1.000,5.887E-2,3.832E-2,4.209E-2,6.163E-2
1.033,,,,
1.067,,,,
1.100,5.839E-2,7.615E-3,1.550E-2,4.016E-2
1.133,,,,
1.167,,,,
1.200,5.209E-2,-2.281E-2,-1.289E-2,1.390E-2
1.233,,,,
1.267,,,,
1.300,4.046E-2,-5.136E-2,-4.034E-2,-1.345E-2
1.333,,,,
1.367,,,,
1.400,2.505E-2,-7.454E-2,-6.440E-2,-3.994E-2
1.433,,,,
1.467,,,,
1.500,6.388E-3,-9.023E-2,-8.249E-2,-6.302E-2
1.533,,,,
1.567,,,,
1.600,-1.294E-2,-9.707E-2,-9.284E-2,-8.033E-2
1.633,,,,
1.667,,,,
1.700,-3.185E-2,-9.449E-2,-9.445E-2,-8.992E-2
1.733,,,,
1.767,,,,
1.800,-4.800E-2,-8.236E-2,-8.697E-2,-9.177E-2
1.833,,,,
1.867,,,,
1.900,-5.949E-2,-6.175E-2,-7.130E-2,-8.407E-2
1.933,,,,
1.967,,,,
2.000,-6.531E-2,-3.594E-2,-4.932E-2,-6.959E-2
2.033,,,,
2.067,,,,
2.100,-6.553E-2,-7.533E-3,-2.337E-2,-4.787E-2
2.133,,,,
2.167,,,,
2.200,-5.860E-2,2.208E-2,4.347E-3,-2.175E-2
2.233,,,,
2.267,,,,
2.300,-4.590E-2,4.965E-2,3.093E-2,5.705E-3
2.333,,,,
2.367,,,,
2.400,-2.933E-2,7.119E-2,5.394E-2,3.168E-2
2.433,,,,
2.467,,,,
2.500,-9.679E-3,8.649E-2,7.118E-2,5.437E-2
2.533,,,,
2.567,,,,
2.600,1.108E-2,9.339E-2,8.130E-2,7.174E-2
2.633,,,,
2.667,,,,
2.700,3.077E-2,9.156E-2,8.326E-2,8.168E-2
2.733,,,,
2.767,,,,
2.800,4.758E-2,8.062E-2,7.695E-2,8.341E-2
2.833,,,,
2.867,,,,
2.900,5.971E-2,6.230E-2,6.309E-2,7.755E-2
2.933,,,,
2.967,,,,
3.000,6.658E-2,3.900E-2,4.272E-2,6.364E-2
3.033,,,,
3.067,,,,
3.100,6.668E-2,1.095E-2,1.802E-2,4.293E-2
3.133,,,,
3.167,,,,
3.200,6.037E-2,-1.750E-2,-8.668E-3,2.041E-2
3.233,,,,
3.267,,,,
3.300,4.781E-2,-4.387E-2,-3.496E-2,-8.925E-3
3.333,,,,
3.367,,,,
3.400,3.033E-2,-6.649E-2,-5.828E-2,-3.564E-2
3.433,,,,
3.467,,,,
3.500,1.016E-2,-8.191E-2,-7.612E-2,-5.904E-2
3.533,,,,
3.567,,,,
3.600,-1.174E-2,-8.878E-2,-8.671E-2,-7.739E-2
3.633,,,,
3.667,,,,
3.700,-3.308E-2,-8.743E-2,-8.928E-2,-8.845E-2
3.733,,,,
3.767,,,,
3.800,-5.163E-2,-7.746E-2,-8.324E-2,-9.097E-2
3.833,,,,
3.867,,,,
3.900,-6.521E-2,-5.980E-2,-6.948E-2,-8.491E-2
3.933,,,,
3.967,,,,
4.000,-7.277E-2,-3.636E-2,-4.954E-2,-7.118E-2
4.033,,,,
4.067,,,,
4.100,-7.307E-2,-1.012E-2,-2.529E-2,-5.069E-2
4.133,,,,
4.167,,,,
4.200,-6.661E-2,1.736E-2,6.051E-4,-2.586E-2
4.233,,,,
4.267,,,,
4.300,-5.349E-2,4.204E-2,2.612E-2,7.065E-4
4.333,,,,
4.367,,,,
4.400,-3.507E-2,6.227E-2,4.822E-2,2.858E-2
4.433,,,,
4.467,,,,
4.500,-1.355E-2,7.668E-2,6.527E-2,4.969E-2
4.533,,,,
4.567,,,,
4.600,9.221E-3,8.335E-2,7.569E-2,6.767E-2
4.633,,,,
4.667,,,,
4.700,3.073E-2,8.225E-2,7.736E-2,7.849E-2
4.733,,,,
4.767,,,,
4.800,4.983E-2,7.348E-2,7.243E-2,8.153E-2
4.833,,,,
4.867,,,,
4.900,6.403E-2,5.726E-2,6.000E-2,7.647E-2
4.933,,,,
4.967,,,,
5.000,7.154E-2,3.633E-2,4.170E-2,6.360E-2
5.033,,,,
5.067,,,,
5.100,7.221E-2,1.152E-2,1.896E-2,4.436E-2
5.133,,,,
5.167,,,,
5.200,6.575E-2,-1.449E-2,-6.117E-3,2.171E-2
5.233,,,,
5.267,,,,
5.300,5.244E-2,-3.946E-2,-3.090E-2,-5.963E-3
5.333,,,,
5.367,,,,
5.400,3.312E-2,-5.998E-2,-5.329E-2,-3.213E-2
5.433,,,,
5.467,,,,
5.500,,-7.487E-2,-7.056E-2,-5.569E-2
5.533,,,,
5.567,,,,
5.600,-1.134E-2,-8.022E-2,-8.159E-2,-7.455E-2
5.633,,,,
5.667,,,,
5.700,,-7.980E-2,-8.486E-2,-8.637E-2
5.733,,,,
5.767,,,,
5.800,,-7.129E-2,-8.030E-2,-8.973E-2
5.833,,,,
5.867,,,,
5.900,-6.733E-2,-5.606E-2,-6.839E-2,-8.515E-2
5.933,,,,
5.967,,,,
6.000,-7.579E-2,-3.530E-2,-5.037E-2,-7.265E-2
6.033,,,,
6.067,,,,
6.100,-7.641E-2,-1.190E-2,-2.815E-2,-5.343E-2
6.133,,,,
6.167,,,,
6.200,-6.963E-2,1.289E-2,-4.057E-3,-2.971E-2
6.233,,,,
6.267,,,,
6.300,-5.552E-2,3.584E-2,1.992E-2,-3.468E-3
6.333,,,,
6.367,,,,
6.400,-3.612E-2,5.472E-2,4.076E-2,2.325E-2
6.433,,,,
6.467,,,,
6.500,-1.280E-2,6.845E-2,5.729E-2,4.502E-2
6.533,,,,
6.567,,,,
6.600,1.156E-2,7.563E-2,6.785E-2,6.339E-2
6.633,,,,
6.667,,,,
6.700,3.525E-2,7.574E-2,7.125E-2,7.510E-2
6.733,,,,
6.767,,,,
6.800,5.583E-2,6.863E-2,6.748E-2,7.915E-2
6.833,,,,
6.867,,,,
6.900,7.127E-2,5.513E-2,5.698E-2,7.559E-2
6.933,,,,
6.967,,,,
7.000,8.006E-2,3.663E-2,4.050E-2,6.411E-2
7.033,,,,
7.067,,,,
7.100,8.138E-2,1.490E-2,1.972E-2,4.585E-2
7.133,,,,
7.167,,,,
7.200,7.481E-2,-8.383E-3,-3.495E-3,2.383E-2
7.233,,,,
7.267,,,,
7.300,6.093E-2,-3.032E-2,-2.665E-2,-2.544E-3
7.333,,,,
7.367,,,,
7.400,4.154E-2,-4.893E-2,-4.778E-2,-2.814E-2
7.433,,,,
7.467,,,,
7.500,1.804E-2,-6.269E-2,-6.455E-2,-5.168E-2
7.533,,,,
7.567,,,,
7.600,-7.453E-3,-7.163E-2,-7.535E-2,-7.026E-2
7.633,,,,
7.667,,,,
7.700,,-7.190E-2,-7.929E-2,-8.240E-2
7.733,,,,
7.767,,,,
7.800,,-6.523E-2,-7.595E-2,-8.697E-2
7.833,,,,
7.867,,,,
7.900,,-5.206E-2,-6.572E-2,-8.364E-2
7.933,,,,
7.967,,,,
8.000,-8.306E-2,-3.450E-2,-4.975E-2,-7.234E-2
8.033,,,,
8.067,,,,
8.100,-8.466E-2,-1.371E-2,-2.956E-2,-5.446E-2
8.133,,,,
8.167,,,,
8.200,-7.592E-2,8.078E-3,-7.384E-3,-3.154E-2
8.233,,,,
8.267,,,,
8.300,-6.108E-2,2.898E-2,1.480E-2,-6.816E-3
8.333,,,,
8.367,,,,
8.400,-4.066E-2,4.642E-2,3.470E-2,2.808E-2
8.433,,,,
8.467,,,,
8.500,-1.607E-2,5.864E-2,5.067E-2,4.137E-2
8.533,,,,
8.567,,,,
8.600,1.008E-2,6.579E-2,6.105E-2,5.981E-2
8.633,,,,
8.667,,,,
8.700,3.152E-2,6.633E-2,6.512E-2,7.218E-2
8.733,,,,
8.767,,,,
8.800,5.389E-2,6.077E-2,6.239E-2,7.720E-2
8.833,,,,
8.867,,,,
8.900,7.021E-2,4.973E-2,5.332E-2,7.463E-2
8.933,,,,
8.967,,,,
9.000,7.980E-2,3.391E-2,3.862E-2,6.428E-2
9.033,,,,
9.067,,,,
9.100,8.117E-2,1.488E-2,2.008E-2,4.770E-2
9.133,,,,
9.167,,,,
9.200,7.500E-2,-4.915E-3,-1.015E-3,2.764E-2
9.233,,,,
9.267,,,,
9.300,6.023E-2,-2.471E-2,-2.245E-2,1.824E-3
9.333,,,,
9.367,,,,
9.400,4.035E-2,-4.140E-2,-4.205E-2,-2.347E-2
9.433,,,,
9.467,,,,
9.500,1.594E-2,-5.409E-2,-5.810E-2,-4.658E-2
9.533,,,,
9.567,,,,
9.600,-1.076E-2,-6.118E-2,-6.852E-2,-6.538E-2
9.633,,,,
9.667,,,,
9.700,-3.663E-2,-6.211E-2,-7.293E-2,-7.828E-2
9.733,,,,
9.767,,,,
9.800,-6.008E-2,-5.681E-2,-7.047E-2,-8.367E-2
9.833,,,,
9.867,,,,
9.900,-7.776E-2,-4.659E-2,-6.188E-2,-8.070E-2
9.933,,,,
9.967,,,,
10.000,-8.776E-2,-3.168E-2,-4.770E-2,-7.122E-2
10.033,,,,
10.067,,,,
10.100,-8.918E-2,-1.412E-2,-2.967E-2,-5.471E-2
10.133,,,,
10.167,,,,
10.200,-8.235E-2,4.531E-3,-9.572E-3,-3.338E-2
10.233,,,,
10.267,,,,
10.300,-6.721E-2,2.291E-2,1.085E-2,-9.153E-3
10.333,,,,
10.367,,,,
10.400,-4.642E-2,3.833E-2,2.938E-2,1.771E-2
10.433,,,,
10.467,,,,
