t,mass A,mass B,mass C,mass D,mass E
0.000,9.483E-2,2.874E-3,-1.580E-2,-3.161E-2,-4.310E-3
0.033,0.108,1.032E-3,-2.874E-3,9.751E-4,-1.104E-3
0.067,0.102,1.247E-3,-3.324E-3,5.737E-4,-1.448E-3
0.100,9.473E-2,1.486E-3,-3.256E-3,6.496E-4,-1.535E-3
0.133,8.718E-2,1.711E-3,-3.425E-3,5.427E-4,-1.676E-3
0.167,7.881E-2,2.174E-3,-3.875E-3,6.256E-4,-1.586E-3
0.200,6.987E-2,2.290E-3,-3.912E-3,6.573E-4,-1.568E-3
0.233,5.969E-2,2.665E-3,-4.099E-3,6.159E-4,-1.706E-3
0.267,4.843E-2,2.777E-3,-4.012E-3,5.255E-4,-1.517E-3
0.300,3.674E-2,3.094E-3,-4.115E-3,6.139E-4,-1.578E-3
0.333,2.478E-2,3.155E-3,-4.269E-3,3.403E-4,-1.900E-3
0.367,1.313E-2,3.287E-3,-4.678E-3,5.319E-4,-1.921E-3
0.400,1.548E-3,2.915E-3,-4.964E-3,4.907E-4,-1.606E-3
0.433,-1.080E-2,2.959E-3,-5.075E-3,1.944E-4,-2.088E-3
0.467,-2.371E-2,2.945E-3,-5.138E-3,-2.772E-4,-2.603E-3
0.500,-3.593E-2,2.964E-3,-5.146E-3,-4.599E-4,-2.437E-3
0.533,-4.719E-2,2.900E-3,-5.066E-3,-7.274E-4,-2.565E-3
0.567,-5.747E-2,2.830E-3,-4.997E-3,-1.089E-3,-2.506E-3
0.600,-6.773E-2,2.749E-3,-4.925E-3,-1.128E-3,-2.352E-3
0.633,-7.747E-2,2.631E-3,-5.044E-3,-1.445E-3,-2.365E-3
0.667,-8.693E-2,2.321E-3,-5.020E-3,-1.552E-3,-2.606E-3
0.700,-9.523E-2,1.865E-3,-4.885E-3,-2.032E-3,-2.616E-3
0.733,-0.103,1.416E-3,-5.233E-3,-2.575E-3,-2.945E-3
0.767,-0.108,7.001E-4,-5.758E-3,-3.085E-3,-3.435E-3
0.800,-0.112,2.161E-4,-6.046E-3,-3.335E-3,-3.614E-3
0.833,-0.116,-7.929E-4,-6.243E-3,-3.611E-3,-3.918E-3
0.867,-0.119,-1.283E-3,-6.878E-3,-4.072E-3,-4.038E-3
0.900,-0.120,-1.820E-3,-6.776E-3,-4.273E-3,-4.384E-3
0.933,-0.120,-2.803E-3,-7.114E-3,-4.541E-3,-4.474E-3
0.967,-0.118,-3.323E-3,-7.596E-3,-4.948E-3,-4.691E-3
1.000,-0.115,-4.367E-3,-7.824E-3,-5.020E-3,-4.293E-3
1.033,-0.111,-5.143E-3,-8.076E-3,-5.396E-3,-4.946E-3
1.067,-0.106,-6.194E-3,-8.479E-3,-5.650E-3,-4.962E-3
1.100,-0.100,-6.844E-3,-8.642E-3,-5.931E-3,-5.321E-3
1.133,-9.365E-2,-7.291E-3,-8.846E-3,-6.220E-3,-5.508E-3
1.167,-7.184E-2,-7.875E-3,-8.722E-3,-6.570E-3,-5.110E-3
1.200,-6.201E-2,-8.841E-3,-8.828E-3,-6.690E-3,-5.528E-3
1.233,-5.340E-2,-9.331E-3,-8.896E-3,-6.802E-3,-5.239E-3
1.267,-4.399E-2,-9.814E-3,-9.277E-3,-6.600E-3,-5.303E-3
1.300,-3.277E-2,-1.066E-2,-9.623E-3,-6.866E-3,-5.291E-3
1.333,-1.995E-2,-1.097E-2,-9.744E-3,-6.917E-3,-5.246E-3
1.367,-6.360E-3,-1.115E-2,-9.540E-3,-6.572E-3,-5.456E-3
1.400,6.090E-3,-1.136E-2,-9.608E-3,-6.636E-3,-5.482E-3
1.433,1.680E-2,-1.137E-2,-9.643E-3,-6.514E-3,-5.102E-3
1.467,2.784E-2,-1.096E-2,-9.359E-3,-6.089E-3,-5.027E-3
1.500,4.021E-2,-1.076E-2,-9.392E-3,-5.678E-3,-5.212E-3
1.533,5.350E-2,-1.069E-2,-9.270E-3,-5.473E-3,-5.198E-3
1.567,6.590E-2,-9.941E-3,-8.695E-3,-4.858E-3,-4.784E-3
1.600,7.615E-2,-9.369E-3,-8.627E-3,-4.637E-3,-5.058E-3
1.633,8.457E-2,-8.449E-3,-8.340E-3,-4.259E-3,-4.707E-3
1.667,9.350E-2,-7.297E-3,-7.754E-3,-3.359E-3,-4.023E-3
1.700,0.102,-6.308E-3,-7.441E-3,-2.833E-3,-4.153E-3
1.733,0.111,-5.292E-3,-7.169E-3,-2.389E-3,-4.001E-3
1.767,0.119,-3.859E-3,-6.487E-3,-1.460E-3,-3.401E-3
1.800,0.124,-2.966E-3,-6.061E-3,-8.614E-4,-3.208E-3
1.833,0.126,-1.167E-3,-5.147E-3,-2.347E-4,-2.663E-3
1.867,0.129,2.347E-4,-4.225E-3,6.376E-4,-1.926E-3
1.900,0.131,1.766E-3,-3.318E-3,1.154E-3,-1.343E-3
1.933,0.133,3.604E-3,-2.307E-3,1.706E-3,-1.033E-3
1.967,0.133,5.377E-3,-1.272E-3,2.606E-3,-1.420E-4
2.000,0.131,7.112E-3,-5.528E-4,3.191E-3,3.832E-4
2.033,0.127,9.174E-3,5.428E-4,4.106E-3,1.048E-3
2.067,0.123,1.103E-2,1.347E-3,4.940E-3,1.520E-3
2.100,0.117,1.194E-2,1.741E-3,4.907E-3,1.305E-3
2.133,0.112,1.358E-2,2.452E-3,5.290E-3,1.767E-3
2.167,0.106,1.519E-2,2.997E-3,5.606E-3,2.077E-3
2.200,9.725E-2,1.581E-2,3.217E-3,5.642E-3,2.411E-3
2.233,8.778E-2,1.692E-2,4.103E-3,6.056E-3,2.540E-3
2.267,7.708E-2,1.776E-2,4.428E-3,6.259E-3,2.296E-3
2.300,6.703E-2,1.839E-2,4.624E-3,6.336E-3,2.336E-3
2.333,5.649E-2,1.935E-2,5.033E-3,6.552E-3,2.505E-3
2.367,4.552E-2,1.979E-2,5.415E-3,6.480E-3,2.457E-3
2.400,3.389E-2,1.972E-2,5.308E-3,6.186E-3,2.235E-3
2.433,2.185E-2,1.979E-2,5.433E-3,6.284E-3,2.438E-3
2.467,9.311E-3,1.956E-2,5.362E-3,6.089E-3,2.365E-3
2.500,-2.961E-3,1.913E-2,5.004E-3,5.552E-3,1.963E-3
2.533,-1.513E-2,1.883E-2,4.927E-3,5.060E-3,1.951E-3
2.567,-2.648E-2,1.778E-2,4.293E-3,4.612E-3,1.677E-3
2.600,-3.744E-2,1.659E-2,3.510E-3,3.584E-3,9.395E-4
2.633,-4.783E-2,1.574E-2,2.972E-3,3.091E-3,9.113E-4
2.667,-5.810E-2,1.414E-2,1.837E-3,1.862E-3,6.161E-4
2.700,-6.735E-2,1.242E-2,8.777E-4,7.507E-4,-3.299E-4
2.733,-7.484E-2,1.093E-2,3.570E-4,2.331E-5,-7.081E-4
2.767,-8.191E-2,9.262E-3,-1.094E-3,-1.190E-3,-1.436E-3
2.800,-8.754E-2,7.229E-3,-2.188E-3,-2.181E-3,-1.945E-3
2.833,-9.255E-2,5.645E-3,-3.065E-3,-2.924E-3,-2.221E-3
2.867,-9.665E-2,3.386E-3,-4.225E-3,-4.200E-3,-2.991E-3
2.900,-9.947E-2,1.387E-3,-5.219E-3,-5.081E-3,-3.932E-3
2.933,-0.101,-8.331E-4,-6.713E-3,-6.160E-3,-4.732E-3
2.967,-0.105,-3.086E-3,-7.944E-3,-7.612E-3,-5.484E-3
3.000,-0.105,-5.271E-3,-9.065E-3,-8.666E-3,-5.934E-3
3.033,-0.103,-7.361E-3,-1.040E-2,-9.567E-3,-6.459E-3
3.067,-0.100,-9.634E-3,-1.191E-2,-1.061E-2,-7.036E-3
3.100,-9.614E-2,-1.180E-2,-1.309E-2,-1.144E-2,-7.776E-3
3.133,-8.913E-2,-1.377E-2,-1.405E-2,-1.215E-2,-8.257E-3
3.167,-8.169E-2,-1.558E-2,-1.519E-2,-1.310E-2,-8.928E-3
3.200,-7.321E-2,-1.685E-2,-1.587E-2,-1.375E-2,-9.074E-3
3.233,-6.445E-2,-1.805E-2,-1.651E-2,-1.431E-2,-9.140E-3
3.267,-5.475E-2,-1.949E-2,-1.748E-2,-1.468E-2,-9.595E-3
3.300,-4.452E-2,-2.016E-2,-1.789E-2,-1.508E-2,-9.743E-3
3.333,-3.288E-2,-2.077E-2,-1.827E-2,-1.512E-2,-9.961E-3
3.367,-2.156E-2,-2.165E-2,-1.881E-2,-1.530E-2,-1.011E-2
3.400,-1.121E-2,-2.140E-2,-1.869E-2,-1.497E-2,-9.908E-3
3.433,1.189E-4,-2.135E-2,-1.868E-2,-1.490E-2,-9.764E-3
3.467,1.155E-2,-2.127E-2,-1.867E-2,-1.493E-2,-9.920E-3
3.500,2.307E-2,-2.054E-2,-1.841E-2,-1.448E-2,-9.770E-3
3.533,3.518E-2,-1.950E-2,-1.809E-2,-1.425E-2,-9.758E-3
3.567,4.725E-2,-1.837E-2,-1.735E-2,-1.369E-2,-9.510E-3
3.600,5.856E-2,-1.688E-2,-1.661E-2,-1.298E-2,-8.974E-3
3.633,6.858E-2,-1.509E-2,-1.576E-2,-1.212E-2,-8.245E-3
3.667,8.712E-2,-1.314E-2,-1.455E-2,-1.127E-2,-7.470E-3
3.700,9.643E-2,-1.056E-2,-1.322E-2,-1.008E-2,-6.353E-3
