t,mass A,mass B,mass C,mass D
0.000,-9.218E-3,5.551E-17,1.536E-3,3.073E-3
0.033,,,,
0.067,,,,
0.100,-1.074E-2,-8.636E-6,2.582E-3,3.638E-3
0.133,,,,
0.167,,,,
0.200,-1.038E-2,8.710E-4,4.627E-3,5.676E-3
0.233,,,,
0.267,,,,
0.300,-8.814E-3,2.662E-3,6.920E-3,7.543E-3
0.333,,,,
0.367,,,,
0.400,-6.231E-3,4.386E-3,9.036E-3,9.125E-3
0.433,,,,
0.467,,,,
0.500,-2.063E-3,6.266E-3,1.132E-2,1.037E-2
0.533,,,,
0.567,,,,
0.600,3.551E-3,9.446E-3,1.458E-2,1.232E-2
0.633,,,,
0.667,,,,
0.700,1.032E-2,1.289E-2,1.765E-2,1.400E-2
0.733,,,,
0.767,,,,
0.800,1.714E-2,1.664E-2,2.047E-2,1.566E-2
0.833,,,,
0.867,,,,
0.900,2.330E-2,1.951E-2,2.229E-2,1.628E-2
0.933,,,,
0.967,,,,
1.000,2.791E-2,2.192E-2,2.329E-2,1.637E-2
1.033,,,,
1.067,,,,
1.100,3.220E-2,2.444E-2,2.438E-2,1.706E-2
1.133,,,,
1.167,,,,
1.200,3.456E-2,2.584E-2,2.498E-2,1.702E-2
1.233,,,,
1.267,,,,
1.300,3.251E-2,2.456E-2,2.276E-2,1.529E-2
1.333,,,,
1.367,,,,
1.400,2.799E-2,2.197E-2,1.953E-2,1.275E-2
1.433,,,,
1.467,,,,
1.500,2.295E-2,1.921E-2,1.657E-2,1.165E-2
1.533,,,,
1.567,,,,
1.600,1.568E-2,1.483E-2,1.311E-2,9.465E-3
1.633,,,,
1.667,,,,
1.700,5.357E-3,8.714E-3,7.772E-3,6.227E-3
1.733,,,,
1.767,,,,
1.800,-5.604E-3,1.694E-3,2.604E-3,2.850E-3
1.833,,,,
1.867,,,,
1.900,-1.527E-2,-4.231E-3,-1.162E-3,1.102E-3
1.933,,,,
1.967,,,,
2.000,-2.341E-2,-9.191E-3,-4.302E-3,-2.721E-4
2.033,,,,
2.067,,,,
2.100,-3.041E-2,-1.369E-2,-6.943E-3,-1.897E-3
2.133,,,,
2.167,,,,
2.200,-3.507E-2,-1.730E-2,-8.895E-3,-2.710E-3
2.233,,,,
2.267,,,,
2.300,-3.463E-2,-1.765E-2,-8.120E-3,-2.195E-3
2.333,,,,
2.367,,,,
2.400,-3.025E-2,-1.565E-2,-5.665E-3,-1.544E-4
2.433,,,,
2.467,,,,
2.500,-2.323E-2,-1.212E-2,-2.653E-3,1.495E-3
2.533,,,,
2.567,,,,
2.600,-1.318E-2,-6.232E-3,1.827E-3,4.171E-3
2.633,,,,
2.667,,,,
2.700,-2.349E-4,1.852E-3,8.440E-3,8.038E-3
2.733,,,,
2.767,,,,
2.800,1.376E-2,1.106E-2,1.536E-2,1.223E-2
2.833,,,,
2.867,,,,
2.900,2.666E-2,1.961E-2,2.150E-2,1.538E-2
2.933,,,,
2.967,,,,
3.000,3.894E-2,2.829E-2,2.702E-2,1.891E-2
3.033,,,,
3.067,,,,
3.100,5.049E-2,3.754E-2,3.405E-2,2.390E-2
3.133,,,,
3.167,,,,
3.200,5.651E-2,4.286E-2,3.719E-2,2.565E-2
3.233,,,,
3.267,,,,
3.300,5.750E-2,4.475E-2,3.744E-2,2.559E-2
3.333,,,,
3.367,,,,
3.400,5.437E-2,4.383E-2,3.622E-2,2.484E-2
3.433,,,,
3.467,,,,
3.500,4.662E-2,3.989E-2,3.241E-2,2.277E-2
3.533,,,,
3.567,,,,
3.600,3.393E-2,3.242E-2,2.602E-2,1.836E-2
3.633,,,,
3.667,,,,
3.700,1.781E-2,2.196E-2,1.781E-2,1.318E-2
3.733,,,,
3.767,,,,
3.800,1.888E-4,1.044E-2,9.101E-3,7.835E-3
3.833,,,,
3.867,,,,
3.900,-1.762E-2,-1.912E-3,2.677E-4,2.804E-3
3.933,,,,
3.967,,,,
4.000,-3.392E-2,-1.456E-2,-8.642E-3,-2.944E-3
4.033,,,,
4.067,,,,
4.100,-4.763E-2,-2.514E-2,-1.644E-2,-7.729E-3
4.133,,,,
4.167,,,,
4.200,-5.631E-2,-3.279E-2,-2.094E-2,-1.068E-2
4.233,,,,
4.267,,,,
4.300,-5.952E-2,-3.684E-2,-2.322E-2,-1.165E-2
4.333,,,,
4.367,,,,
4.400,-5.755E-2,-3.794E-2,-2.351E-2,-1.185E-2
4.433,,,,
4.467,,,,
4.500,-4.974E-2,-3.498E-2,-2.058E-2,-1.022E-2
4.533,,,,
4.567,,,,
4.600,-3.597E-2,-2.694E-2,-1.411E-2,-5.999E-3
4.633,,,,
4.667,,,,
4.700,-1.775E-2,-1.516E-2,-5.065E-3,-2.230E-4
4.733,,,,
4.767,,,,
4.800,2.682E-3,-1.449E-3,5.074E-3,6.043E-3
4.833,,,,
4.867,,,,
4.900,2.341E-2,1.342E-2,1.610E-2,1.230E-2
4.933,,,,
4.967,,,,
5.000,4.391E-2,2.893E-2,2.724E-2,1.957E-2
5.033,,,,
5.067,,,,
5.100,6.134E-2,4.322E-2,3.731E-2,2.583E-2
5.133,,,,
5.167,,,,
5.200,7.406E-2,5.456E-2,4.536E-2,3.092E-2
5.233,,,,
5.267,,,,
5.300,7.966E-2,6.134E-2,4.992E-2,3.356E-2
5.333,,,,
5.367,,,,
5.400,7.878E-2,6.389E-2,5.163E-2,3.469E-2
5.433,,,,
5.467,,,,
5.500,7.194E-2,6.190E-2,4.970E-2,3.387E-2
5.533,,,,
5.567,,,,
5.600,5.778E-2,5.455E-2,4.341E-2,3.051E-2
5.633,,,,
5.667,,,,
5.700,3.816E-2,4.209E-2,3.401E-2,2.416E-2
5.733,,,,
5.767,,,,
5.800,1.505E-2,2.656E-2,2.232E-2,1.695E-2
5.833,,,,
5.867,,,,
5.900,-9.189E-3,8.995E-3,9.873E-3,9.173E-3
5.933,,,,
5.967,,,,
6.000,-3.277E-2,-9.261E-3,-3.181E-3,9.089E-4
6.033,,,,
6.067,,,,
6.100,-5.399E-2,-2.655E-2,-1.630E-2,-7.067E-3
6.133,,,,
6.167,,,,
6.200,-6.983E-2,-4.105E-2,-2.635E-2,-1.401E-2
6.233,,,,
6.267,,,,
6.300,-7.854E-2,-5.130E-2,-3.356E-2,-1.828E-2
6.333,,,,
6.367,,,,
6.400,-8.006E-2,-5.643E-2,-3.711E-2,-2.061E-2
6.433,,,,
6.467,,,,
6.500,-7.415E-2,-5.627E-2,-3.678E-2,-2.078E-2
6.533,,,,
6.567,,,,
6.600,-6.023E-2,-5.009E-2,-3.189E-2,-1.803E-2
6.633,,,,
6.667,,,,
6.700,-3.980E-2,-3.792E-2,-2.270E-2,-1.225E-2
6.733,,,,
6.767,,,,
6.800,-1.501E-2,-2.160E-2,-1.049E-2,-4.725E-3
6.833,,,,
6.867,,,,
6.900,1.166E-2,-2.503E-3,3.403E-3,3.893E-3
6.933,,,,
6.967,,,,
7.000,3.853E-2,1.841E-2,1.896E-2,1.356E-2
7.033,,,,
7.067,,,,
7.100,6.335E-2,3.909E-2,3.418E-2,2.344E-2
7.133,,,,
7.167,,,,
7.200,8.267E-2,5.717E-2,4.753E-2,3.168E-2
7.233,,,,
7.267,,,,
7.300,9.475E-2,7.111E-2,5.767E-2,3.781E-2
7.333,,,,
7.367,,,,
7.400,9.923E-2,7.957E-2,6.362E-2,4.202E-2
7.433,,,,
7.467,,,,
7.500,9.526E-2,8.179E-2,6.543E-2,4.358E-2
7.533,,,,
7.567,,,,
7.600,8.172E-2,7.693E-2,6.122E-2,4.172E-2
7.633,,,,
7.667,,,,
7.700,6.090E-2,6.564E-2,5.271E-2,3.658E-2
7.733,,,,
7.767,,,,
7.800,3.499E-2,4.883E-2,4.051E-2,2.946E-2
7.833,,,,
7.867,,,,
7.900,5.807E-3,2.789E-2,2.522E-2,2.025E-2
7.933,,,,
7.967,,,,
8.000,-2.361E-2,4.359E-3,7.982E-3,9.716E-3
8.033,,,,
8.067,,,,
8.100,-5.204E-2,-1.949E-2,-9.678E-3,-1.656E-3
8.133,,,,
8.167,,,,
8.200,-7.438E-2,-4.026E-2,-2.524E-2,-1.178E-2
8.233,,,,
8.267,,,,
8.300,-8.974E-2,-5.750E-2,-3.769E-2,-1.980E-2
8.333,,,,
8.367,,,,
8.400,-9.681E-2,-6.945E-2,-4.647E-2,-2.591E-2
8.433,,,,
8.467,,,,
8.500,-9.488E-2,-7.443E-2,-5.050E-2,-2.936E-2
8.533,,,,
8.567,,,,
8.600,-8.316E-2,-7.149E-2,-4.832E-2,-2.894E-2
8.633,,,,
8.667,,,,
8.700,-6.283E-2,-6.112E-2,-4.138E-2,-2.501E-2
8.733,,,,
8.767,,,,
8.800,-3.675E-2,-4.476E-2,-2.947E-2,-1.796E-2
8.833,,,,
8.867,,,,
