t,mass A,mass B,mass C,mass D
0.000,-5.228E-3,5.228E-3,6.536E-4,1.961E-3
0.033,,,,
0.067,,,,
0.100,-6.310E-3,5.493E-3,4.534E-4,1.877E-3
0.133,,,,
0.167,,,,
0.200,-6.624E-3,5.322E-3,1.243E-3,1.592E-3
0.233,,,,
0.267,,,,
0.300,-5.923E-3,5.508E-3,2.422E-3,2.344E-3
0.333,,,,
0.367,,,,
0.400,-3.938E-3,5.662E-3,4.389E-3,3.232E-3
0.433,,,,
0.467,,,,
0.500,-1.344E-3,5.369E-3,6.709E-3,4.479E-3
0.533,,,,
0.567,,,,
0.600,2.259E-3,5.282E-3,8.915E-3,5.830E-3
0.633,,,,
0.667,,,,
0.700,6.388E-3,5.527E-3,1.183E-2,8.287E-3
0.733,,,,
0.767,,,,
0.800,1.079E-2,6.408E-3,1.448E-2,9.691E-3
0.833,,,,
0.867,,,,
0.900,1.467E-2,6.661E-3,1.581E-2,1.107E-2
0.933,,,,
0.967,,,,
1.000,1.762E-2,7.090E-3,1.730E-2,1.218E-2
1.033,,,,
1.067,,,,
1.100,2.007E-2,7.702E-3,1.852E-2,1.326E-2
1.133,,,,
1.167,,,,
1.200,2.040E-2,7.994E-3,1.847E-2,1.356E-2
1.233,,,,
1.267,,,,
1.300,1.908E-2,7.881E-3,1.670E-2,1.296E-2
1.333,,,,
1.367,,,,
1.400,1.626E-2,7.425E-3,1.468E-2,1.166E-2
1.433,,,,
1.467,,,,
1.500,1.247E-2,6.599E-3,1.165E-2,1.072E-2
1.533,,,,
1.567,,,,
1.600,7.251E-3,5.169E-3,8.974E-3,8.365E-3
1.633,,,,
1.667,,,,
1.700,1.047E-3,2.993E-3,4.519E-3,5.739E-3
1.733,,,,
1.767,,,,
1.800,-4.957E-3,1.125E-3,1.294E-3,3.081E-3
1.833,,,,
1.867,,,,
1.900,-1.026E-2,-1.574E-4,-1.536E-3,9.924E-4
1.933,,,,
1.967,,,,
2.000,-1.478E-2,-1.902E-3,-3.891E-3,-5.523E-4
2.033,,,,
2.067,,,,
2.100,-1.867E-2,-3.904E-3,-5.903E-3,-1.973E-3
2.133,,,,
2.167,,,,
2.200,-2.006E-2,-4.945E-3,-6.232E-3,-3.049E-3
2.233,,,,
2.267,,,,
2.300,-1.870E-2,-4.962E-3,-4.319E-3,-1.934E-3
2.333,,,,
2.367,,,,
2.400,-1.534E-2,-3.902E-3,-2.688E-3,-7.371E-4
2.433,,,,
2.467,,,,
2.500,-1.051E-2,-2.798E-3,2.579E-4,7.734E-4
2.533,,,,
2.567,,,,
2.600,-3.839E-3,-2.526E-4,4.663E-3,3.485E-3
2.633,,,,
2.667,,,,
2.700,4.215E-3,3.077E-3,9.220E-3,6.526E-3
2.733,,,,
2.767,,,,
2.800,1.253E-2,6.509E-3,1.395E-2,9.697E-3
2.833,,,,
2.867,,,,
2.900,1.994E-2,9.940E-3,1.842E-2,1.214E-2
2.933,,,,
2.967,,,,
3.000,2.648E-2,1.305E-2,2.139E-2,1.459E-2
3.033,,,,
3.067,,,,
3.100,3.142E-2,1.620E-2,2.374E-2,1.693E-2
3.133,,,,
3.167,,,,
3.200,3.341E-2,1.832E-2,2.488E-2,1.814E-2
3.233,,,,
3.267,,,,
3.300,3.245E-2,1.892E-2,2.393E-2,1.818E-2
3.333,,,,
3.367,,,,
3.400,2.882E-2,1.800E-2,2.224E-2,1.723E-2
3.433,,,,
3.467,,,,
3.500,2.278E-2,1.612E-2,1.832E-2,1.509E-2
3.533,,,,
3.567,,,,
3.600,1.461E-2,1.288E-2,1.416E-2,1.199E-2
3.633,,,,
3.667,,,,
3.700,4.881E-3,8.472E-3,8.466E-3,8.217E-3
3.733,,,,
3.767,,,,
3.800,-4.986E-3,3.612E-3,3.081E-3,4.600E-3
3.833,,,,
3.867,,,,
3.900,-1.432E-2,-1.132E-3,-2.684E-3,7.765E-4
3.933,,,,
3.967,,,,
4.000,-2.276E-2,-6.003E-3,-7.382E-3,-2.222E-3
4.033,,,,
4.067,,,,
4.100,-2.900E-2,-1.035E-2,-1.067E-2,-5.051E-3
4.133,,,,
4.167,,,,
4.200,-3.184E-2,-1.352E-2,-1.294E-2,-6.816E-3
4.233,,,,
4.267,,,,
4.300,-3.149E-2,-1.474E-2,-1.283E-2,-6.909E-3
4.333,,,,
4.367,,,,
4.400,-2.785E-2,-1.466E-2,-1.131E-2,-5.944E-3
4.433,,,,
4.467,,,,
4.500,-2.129E-2,-1.283E-2,-7.544E-3,-4.053E-3
4.533,,,,
4.567,,,,
4.600,-1.189E-2,-8.843E-3,-2.138E-3,-7.716E-4
4.633,,,,
4.667,,,,
4.700,-3.051E-4,-3.460E-3,3.697E-3,3.037E-3
4.733,,,,
4.767,,,,
4.800,1.129E-2,2.737E-3,1.067E-2,7.374E-3
4.833,,,,
4.867,,,,
4.900,2.276E-2,9.322E-3,1.689E-2,1.142E-2
4.933,,,,
4.967,,,,
5.000,3.264E-2,1.565E-2,2.263E-2,1.564E-2
5.033,,,,
5.067,,,,
5.100,4.032E-2,2.175E-2,2.770E-2,1.917E-2
5.133,,,,
5.167,,,,
5.200,4.431E-2,2.608E-2,3.081E-2,2.138E-2
5.233,,,,
5.267,,,,
5.300,4.416E-2,2.816E-2,3.113E-2,2.227E-2
5.333,,,,
5.367,,,,
5.400,4.084E-2,2.880E-2,3.038E-2,2.198E-2
5.433,,,,
5.467,,,,
5.500,3.385E-2,2.693E-2,2.721E-2,2.034E-2
5.533,,,,
5.567,,,,
5.600,2.356E-2,2.264E-2,2.155E-2,1.712E-2
5.633,,,,
5.667,,,,
5.700,1.091E-2,1.632E-2,1.481E-2,1.264E-2
5.733,,,,
5.767,,,,
5.800,-2.250E-3,8.936E-3,7.074E-3,7.766E-3
5.833,,,,
5.867,,,,
5.900,-1.527E-2,1.118E-3,-1.150E-4,3.174E-3
5.933,,,,
5.967,,,,
6.000,-2.739E-2,-7.107E-3,-7.368E-3,-1.963E-3
6.033,,,,
6.067,,,,
6.100,-3.549E-2,-1.353E-2,-1.264E-2,-5.341E-3
6.133,,,,
6.167,,,,
6.200,-4.168E-2,-1.990E-2,-1.719E-2,-8.723E-3
6.233,,,,
6.267,,,,
6.300,-4.329E-2,-2.393E-2,-1.951E-2,-1.036E-2
6.333,,,,
6.367,,,,
6.400,-4.094E-2,-2.530E-2,-1.936E-2,-1.089E-2
6.433,,,,
6.467,,,,
6.500,-3.442E-2,-2.453E-2,-1.692E-2,-9.924E-3
6.533,,,,
6.567,,,,
6.600,-2.405E-2,-2.077E-2,-1.241E-2,-6.753E-3
6.633,,,,
6.667,,,,
6.700,-1.032E-2,-1.415E-2,-4.735E-3,-2.547E-3
6.733,,,,
6.767,,,,
6.800,3.961E-3,-6.311E-3,2.999E-3,2.032E-3
6.833,,,,
6.867,,,,
6.900,1.876E-2,3.163E-3,1.130E-2,7.215E-3
6.933,,,,
6.967,,,,
