t,mass A
0.000,-0.115
0.033,
0.067,
0.100,-0.119
0.133,
0.167,
0.200,-0.123
0.233,
0.267,
0.300,-0.113
0.333,
0.367,
0.400,-9.234E-2
0.433,
0.467,
0.500,-6.217E-2
0.533,
0.567,
0.600,-2.473E-2
0.633,
0.667,
0.700,1.532E-2
0.733,
0.767,
0.800,5.492E-2
0.833,
0.867,
0.900,8.845E-2
0.933,
0.967,
1.000,0.114
1.033,
1.067,
1.100,0.129
1.133,
1.167,
1.200,0.131
1.233,
1.267,
1.300,0.120
1.333,
1.367,
1.400,9.758E-2
1.433,
1.467,
1.500,6.620E-2
1.533,
1.567,
1.600,2.898E-2
1.633,
1.667,
1.700,-1.119E-2
1.733,
1.767,
1.800,-4.927E-2
1.833,
1.867,
1.900,-8.271E-2
1.933,
1.967,
2.000,-0.107
2.033,
2.067,
2.100,-0.120
2.133,
2.167,
2.200,-0.120
2.233,
2.267,
2.300,-0.107
2.333,
2.367,
2.400,-8.270E-2
2.433,
2.467,
2.500,-4.981E-2
2.533,
2.567,
2.600,-1.199E-2
2.633,
2.667,
2.700,1.690E-2
2.733,
2.767,
2.800,5.436E-2
2.833,
2.867,
2.900,8.512E-2
2.933,
2.967,
3.000,0.107
3.033,
3.067,
3.100,0.118
3.133,
3.167,
3.200,0.116
3.233,
3.267,
3.300,0.101
3.333,
3.367,
3.400,7.632E-2
3.433,
3.467,
3.500,4.297E-2
3.533,
3.567,
3.600,4.329E-3
3.633,
3.667,
3.700,-3.623E-2
3.733,
3.767,
3.800,-7.302E-2
3.833,
3.867,
3.900,-0.103
3.933,
3.967,
4.000,-0.124
4.033,
4.067,
4.100,-0.133
4.133,
4.167,
4.200,-0.129
4.233,
4.267,
4.300,-6.038E-2
4.333,
4.367,
4.400,-3.323E-2
4.433,
4.467,
4.500,1.407E-3
4.533,
4.567,
4.600,4.019E-2
4.633,
4.667,
4.700,3.125E-2
4.733,
4.767,
4.800,6.671E-2
4.833,
4.867,
4.900,9.841E-2
4.933,
4.967,
5.000,0.115
5.033,
5.067,
5.100,0.121
5.133,
5.167,
5.200,0.115
5.233,
5.267,
5.300,9.660E-2
5.333,
5.367,
5.400,6.901E-2
5.433,
5.467,
5.500,3.345E-2
5.533,
5.567,
5.600,-5.414E-3
5.633,
5.667,
5.700,-4.407E-2
5.733,
5.767,
5.800,-7.914E-2
5.833,
5.867,
5.900,-0.106
5.933,
5.967,
6.000,-0.123
6.033,
6.067,
6.100,-0.128
6.133,
6.167,
6.200,-0.120
6.233,
6.267,
6.300,-9.999E-2
6.333,
6.367,
6.400,-7.046E-2
6.433,
6.467,
6.500,-3.441E-2
6.533,
6.567,
6.600,4.525E-3
6.633,
6.667,
6.700,4.236E-2
6.733,
6.767,
6.800,7.573E-2
6.833,
6.867,
6.900,0.101
6.933,
6.967,
7.000,0.116
7.033,
7.067,
7.100,0.119
7.133,
7.167,
7.200,0.109
7.233,
7.267,
7.300,8.756E-2
7.333,
7.367,
7.400,5.711E-2
7.433,
7.467,
7.500,2.088E-2
7.533,
7.567,
7.600,-1.795E-2
7.633,
7.667,
7.700,-5.532E-2
7.733,
7.767,
7.800,-8.774E-2
7.833,
7.867,
7.900,-0.112
7.933,
7.967,
8.000,-0.124
8.033,
8.067,
8.100,-0.124
8.133,
8.167,
8.200,-0.113
8.233,
8.267,
8.300,-8.938E-2
8.333,
8.367,
8.400,-5.776E-2
8.433,
8.467,
8.500,-2.065E-2
8.533,
8.567,
8.600,1.797E-2
8.633,
8.667,
